commande_id,client_id,produit_id,quantite,date_commande,montant_total
1,125,42,58,2025-06-03,842903.13
2,33,38,16,2025-11-24,534374.68
3,145,30,85,2026-02-22,4058.71
4,134,3,40,2026-01-06,537014.92
5,10,48,98,2025-09-26,794808.02
6,185,36,10,2025-09-17,519461.19
7,78,10,84,2025-06-30,221988.23
8,70,20,77,2025-06-27,187574.13
9,29,40,47,2025-08-07,980963.25
10,181,28,59,2025-08-28,337805.72
11,191,24,20,2025-06-15,658554.76
12,147,16,41,2025-06-05,572058.5
13,50,36,29,2025-04-10,807227.5
14,159,43,47,2026-04-01,689070.55
15,79,50,23,2025-08-30,742864.11
16,35,28,43,2025-05-28,924789.11
17,149,15,87,2026-02-21,808125.06
18,90,46,25,2026-01-27,766503.51
19,130,36,82,2025-08-11,125478.97
20,62,40,66,2025-11-03,628265.73
21,50,20,71,2025-10-07,465813.43
22,165,23,84,2025-08-27,887898.69
23,10,28,55,2026-03-15,164960.84
24,92,36,91,2025-08-12,519186.9
25,159,45,98,2025-04-05,916988.82
26,181,8,81,2026-03-09,521603.51
27,187,13,17,2025-10-28,814678.0
28,89,23,77,2026-03-09,772802.7
29,52,15,70,2025-12-17,942772.43
30,42,20,28,2026-02-14,283893.54
31,81,40,91,2025-06-24,388280.33
32,55,48,89,2025-04-28,197844.11
33,124,50,95,2025-12-03,335269.09
34,164,21,57,2026-01-19,533755.56
35,54,16,73,2025-12-22,999029.18
36,157,12,88,2026-02-20,23672.04
37,88,11,66,2025-12-29,358798.42
38,115,11,13,2025-11-23,3708.96
39,124,30,38,2025-12-25,471765.58
40,117,14,93,2025-08-21,3536.92
41,4,37,45,2025-05-31,640945.95
42,68,3,15,2025-12-28,538964.51
43,106,3,40,2025-04-30,318089.6
44,171,13,62,2025-05-27,773002.45
45,142,30,94,2025-11-15,37010.96
46,182,44,77,2025-11-29,518917.96
47,34,18,38,2025-08-27,224724.42
48,80,29,99,2025-10-13,829253.16
49,173,5,89,2025-09-14,384096.31
50,149,22,57,2025-11-08,318040.1
51,21,15,96,2026-01-18,942123.72
52,198,47,22,2026-01-25,767860.69
53,7,4,81,2025-10-11,845382.08
54,104,8,49,2025-07-15,484387.5
55,36,33,49,2025-07-14,4506.54
56,119,29,21,2025-10-25,44713.65
57,129,50,59,2025-11-15,4367.99
58,157,15,42,2026-02-21,227837.81
59,87,17,73,2025-12-22,132134.73
60,156,33,38,2025-07-26,497185.91
61,98,24,50,2025-12-12,779311.68
62,119,46,10,2026-02-28,459528.94
63,71,21,75,2025-06-15,802321.91
64,68,45,29,2025-10-11,739186.12
65,180,36,59,2025-11-20,255381.86
66,119,50,53,2025-10-17,383659.02
67,160,28,77,2025-05-20,889650.43
68,40,1,35,2025-09-13,710747.21
