commande_id,client_id,produit_id,quantite,date_commande,montant_total
1,97,18,43,2026-01-19,0.0
2,149,36,39,2025-06-10,-2000.99
3,162,33,57,2025-06-27,999999.0
4,179,7,46,2025-11-20,0.0
5,72,14,15,2025-04-16,0.0
6,57,4,14,2025-06-04,999999.0
7,100,33,51,2025-12-15,999999.0
8,153,48,12,2025-04-21,0.0
9,34,33,29,2025-06-07,-2000.99
10,147,2,80,2025-10-16,-2000.99
11,168,11,42,2026-01-04,-2000.99
12,49,5,23,2026-01-18,-2000.99
13,134,37,50,2026-03-28,0.0
14,13,45,54,2025-07-04,-2000.99
15,45,18,95,2025-12-24,-2000.99
16,144,28,30,2025-10-30,2943.4398280479177
17,108,19,65,2025-07-17,0.0
18,96,27,66,2025-08-04,999999.0
19,141,49,48,2025-06-13,3015.147487671021
20,1,7,15,2026-01-28,0.0
21,52,18,53,2025-08-15,-2000.99
22,7,6,18,2025-05-23,0.0
23,39,49,100,2025-08-09,999999.0
24,80,36,94,2025-04-29,-2000.99
25,161,10,97,2026-02-20,0.0
26,41,45,24,2025-06-04,-2000.99
27,120,21,25,2026-01-16,0.0
28,196,24,45,2025-10-25,-2000.99
29,115,10,63,2025-11-16,999999.0
30,198,44,92,2025-10-18,0.0
31,194,9,34,2026-02-25,-2000.99
32,84,31,69,2025-08-30,0.0
33,194,48,86,2025-12-10,-2000.99
34,52,45,31,2025-04-11,999999.0
35,196,38,96,2026-02-25,0.0
36,180,25,88,2025-04-10,-2000.99
37,55,8,98,2026-01-12,999999.0
38,181,34,65,2025-05-01,-2000.99
39,180,18,44,2026-02-15,-2000.99
40,42,45,52,2025-10-28,-2000.99
41,193,26,40,2025-09-16,0.0
42,11,14,42,2025-12-11,0.0
43,195,24,73,2025-10-29,999999.0
44,31,4,67,2026-03-09,999999.0
45,39,16,49,2025-12-16,999999.0
46,88,25,38,2025-07-02,-2000.99
47,163,24,66,2025-09-02,-2000.99
48,163,24,71,2025-12-22,999999.0
49,187,30,25,2025-04-03,-2000.99
50,36,32,72,2025-04-07,999999.0
51,55,50,81,2026-01-02,0.0
52,158,35,83,2026-01-26,0.0
53,16,1,78,2026-03-22,-2000.99
54,147,45,51,2026-03-16,999999.0
55,149,50,38,2025-11-30,-2000.99
56,28,12,25,2025-05-25,-2000.99
57,8,46,46,2025-11-18,999999.0
58,84,47,46,2025-07-31,999999.0
59,91,41,87,2025-12-18,-2000.99
60,78,47,42,2025-11-17,0.0
61,59,36,26,2025-05-09,0.0
62,94,42,80,2026-01-23,-2000.99
63,157,41,57,2025-10-10,-2000.99
64,161,40,46,2026-01-14,-2000.99
65,79,22,51,2025-08-26,0.0
66,190,35,55,2025-12-26,0.0
67,74,5,48,2025-08-03,999999.0
68,80,15,99,2025-07-14,-2000.99
69,193,9,95,2025-08-14,-2000.99
70,113,1,92,2025-05-11,-2000.99
71,156,35,17,2025-09-21,-2000.99
72,144,41,68,2025-06-20,999999.0
73,177,47,56,2026-02-09,0.0
74,142,50,42,2025-11-17,999999.0
75,83,25,42,2026-03-31,-2000.99
76,3,5,73,2025-05-03,0.0
77,142,27,89,2025-09-03,0.0
78,100,25,72,2026-01-10,0.0
79,67,30,100,2026-03-31,-2000.99
80,3,12,10,2026-04-02,-2000.99
81,80,28,81,2026-01-13,0.0
82,80,4,55,2026-02-21,999999.0
83,92,22,83,2025-12-10,0.0
84,143,36,25,2026-03-02,0.0
85,146,35,15,2026-03-08,999999.0
86,161,21,29,2026-02-15,0.0
87,126,24,38,2026-02-04,999999.0
88,108,33,26,2026-03-18,999999.0
89,51,30,62,2026-01-10,0.0
90,152,24,14,2025-10-18,-2000.99
91,16,3,53,2025-06-13,999999.0
92,177,1,27,2025-12-11,0.0
93,132,33,73,2026-03-18,999999.0
94,137,10,53,2025-10-11,0.0
95,108,2,46,2026-03-03,999999.0
96,190,5,41,2025-09-30,0.0
97,82,28,29,2025-06-23,-2000.99
98,196,19,93,2025-05-27,3170.3670117038782
99,65,44,50,2025-12-03,0.0
100,195,23,72,2025-11-14,0.0
101,195,13,95,2025-05-29,-2000.99
102,26,41,52,2025-04-22,-2000.99
103,167,29,87,2025-08-18,-2000.99
104,72,35,78,2026-04-01,999999.0
105,196,21,97,2025-09-15,0.0
106,69,2,36,2025-11-01,-2000.99
107,68,22,43,2025-08-03,-2000.99
108,79,12,17,2025-06-27,0.0
109,80,39,99,2025-11-19,999999.0
110,12,3,99,2026-04-02,999999.0
111,164,25,80,2025-06-24,0.0
112,182,46,18,2025-06-16,0.0
113,102,7,35,2025-07-02,0.0
114,176,2,62,2026-02-20,-2000.99
115,115,41,56,2025-06-30,0.0
116,159,21,55,2026-02-15,0.0
117,61,28,97,2025-11-28,999999.0
118,15,26,45,2026-01-30,4471.742806321088
119,177,31,20,2025-04-18,999999.0
120,175,43,44,2025-08-06,999999.0
121,147,21,70,2025-05-25,-2000.99
122,69,17,86,2025-07-21,0.0
123,137,13,49,2025-05-13,999999.0
124,140,44,14,2025-06-05,0.0
125,88,32,51,2025-08-10,999999.0
126,102,38,30,2025-07-11,0.0
127,173,8,14,2025-05-27,999999.0
128,171,37,20,2025-08-18,-2000.99
129,92,19,96,2025-07-08,999999.0
130,95,6,60,2026-02-21,0.0
131,103,25,71,2025-05-14,-2000.99
132,160,23,47,2025-05-17,-2000.99
133,94,17,35,2026-01-23,999999.0
134,21,29,41,2025-09-02,-2000.99
135,15,24,52,2025-04-28,0.0
136,8,24,71,2025-06-03,999999.0
137,97,17,72,2025-07-12,999999.0
138,184,50,37,2025-05-21,999999.0
139,175,19,62,2025-05-08,-2000.99
140,1,4,92,2025-08-08,0.0
141,47,11,30,2025-04-04,-2000.99
142,190,15,85,2025-07-08,999999.0
143,72,4,47,2025-06-12,-2000.99
144,146,47,89,2025-11-27,999999.0
145,92,37,75,2025-04-09,-2000.99
146,149,20,84,2026-01-06,999999.0
147,27,28,93,2025-09-20,0.0
148,198,10,58,2025-12-21,999999.0
149,75,34,21,2025-12-29,999999.0
150,170,40,23,2025-07-02,-2000.99
151,109,30,71,2025-12-24,-2000.99
152,57,18,34,2025-07-04,0.0
153,116,17,17,2025-04-13,0.0
154,140,27,67,2025-05-27,0.0
155,2,46,94,2025-09-10,999999.0
156,84,29,47,2025-04-12,0.0
157,83,21,51,2026-01-20,999999.0
158,188,9,43,2025-09-11,-2000.99
159,177,42,27,2025-05-23,3239.7797662657667
160,172,25,99,2025-05-14,999999.0
161,177,1,39,2025-05-21,2574.377997311623
162,134,45,51,2025-12-29,-2000.99
163,153,50,88,2025-07-12,0.0
164,104,44,80,2025-12-09,-2000.99
165,159,29,55,2025-06-02,999999.0
166,38,34,52,2026-01-10,0.0
167,16,45,35,2025-06-23,999999.0
168,124,50,97,2025-07-04,-2000.99
169,51,16,53,2025-11-14,999999.0
170,139,25,70,2026-02-14,4535.664157273384
171,184,36,85,2025-06-04,-2000.99
172,103,39,45,2025-04-18,-2000.99
173,120,41,73,2025-04-06,-2000.99
174,16,28,27,2025-05-30,999999.0
175,40,1,86,2026-04-02,-2000.99
176,67,5,37,2026-02-03,-2000.99
177,1,22,46,2025-06-05,0.0
178,189,23,76,2025-06-26,999999.0
179,168,43,36,2025-11-05,0.0
180,105,38,94,2025-08-28,-2000.99
181,77,1,92,2025-08-10,-2000.99
182,127,26,100,2025-07-12,999999.0
183,44,18,11,2025-08-15,999999.0
184,123,27,86,2025-12-04,999999.0
185,20,10,93,2025-12-17,-2000.99
186,178,49,39,2026-03-16,0.0
187,171,25,75,2025-04-29,0.0
188,171,6,24,2025-04-04,-2000.99
189,54,5,69,2025-12-23,999999.0
190,61,27,41,2025-04-18,999999.0
191,49,34,53,2025-11-18,-2000.99
192,29,15,90,2025-06-04,0.0
193,185,7,75,2025-07-10,999999.0
194,16,39,74,2025-05-05,999999.0
195,194,24,49,2025-05-07,-2000.99
196,174,15,71,2025-05-14,-2000.99
197,23,46,56,2026-03-10,0.0
198,20,40,49,2025-06-01,-2000.99
199,82,9,98,2025-08-27,-2000.99
200,149,38,68,2025-07-22,-2000.99
201,45,37,10,2025-07-09,0.0
202,144,26,34,2025-11-06,-2000.99
203,195,34,43,2025-09-16,999999.0
204,196,48,80,2026-01-11,999999.0
205,161,22,12,2026-01-14,999999.0
206,37,20,23,2025-11-21,-2000.99
207,189,34,18,2025-08-11,-2000.99
208,186,22,64,2025-06-02,999999.0
209,154,34,87,2025-11-19,0.0
210,67,9,78,2026-01-12,999999.0
211,33,17,36,2025-05-24,-2000.99
212,192,7,24,2026-01-17,0.0
213,72,40,26,2025-12-15,-2000.99
